Name,Location,Price
"Edremit Kadıköy'de Satılık Daire
            ","['Edremit', ' Balıkesir']",3.100.000 TL
"3+1 SARIMSAKLI LUNAPARK YANI ARA KAT YENİ DAİRE
            ","['Ayvalık', ' Balıkesir']",2.600.000 TL
"ESENYURT REYAP HASTANESİ YAKINI FIRSAT SATILIK 3+1 DAİRE
            ","['Esenyurt', ' İstanbul']",1.950.000 TL
"Bodrum Koyunbaba'da site içinde satılık 3+1 bahçekatı daire
            ","['Bodrum', ' Muğla']",6.750.000 TL
"Ata Caddesi Üzerinde 3+1 Satılık Daire
            ","['Balçova', ' İzmir']",2.500.000 TL
"İZMİT MERKEZDE SATILIK 2+1 DAİRE
            ","['İzmit', ' Kocaeli']",1.100.000 TL
"SÜRMENE ORTA MAHALLE'DE SATILIK 3+1 DOĞALGAZLI DAİRE
            ","['Sürmene', ' Trabzon']",3.050.000 TL
"TEMPOİNT' te Satılık geniş metrekareli 2+1
            ","['Sultangazi', ' İstanbul']",4.500.000 TL
"Hıfsızsıhada Cadde Üzeri 3+1 Arakat Geniş Ferah Daire
            ","['Konak', ' İzmir']",2.700.000 TL
"İLBADE' DE SIFIR 2+1 DAİRE
            ","['Merkezefendi', ' Denizli']",1.750.000 TL
"UZMAN ONELİFE DELİKTAŞ TA SATILIK 2+1 SIFIR DAİRE
            ","['Pamukkale', ' Denizli']",1.950.000 TL
"BEYLİKDÜZÜ YAKUPLU LİMAN YOLUNDA SATILIK FIRSAT DAİRELER
            ","['Beylikdüzü', ' İstanbul']",1.759.000 TL
"MEHMETÇİK FORUMA KOMŞU MUHTEŞEM MANZARAYA SAHİP SATILIK DUBLEKS
            ","['Pamukkale', ' Denizli']",4.750.000 TL
"Satılık Sıfır Daire Balıkesir Edremit Tuzcumurat Mah. 2+1 Daire
            ","['Edremit', ' Balıkesir']",1.750.000 TL
"VİLLA TADINDA BAHÇE KATI 3+1 MARİNANIN YANI
            ","['Beylikdüzü', ' İstanbul']",4.250.000 TL
"ATAŞEHİR AĞAOĞLU SOUTHSİDE SİTESİNDE 2+1 BÜYÜK TİP SATILIK
            ","['Ataşehir', ' İstanbul']",7.500.000 TL
"BOSTANCI MERKEZDE FULL YAPILI LÜKS GENİŞ m2 SATILIK DUBLEX
            ","['Kadıköy', ' İstanbul']",6.600.000 TL
"AVCILAR'IN EN NEZİH BÖLGESİNDE ULAŞIMA YAKIN DUBLEKS
            ","['Avcılar', ' İstanbul']",4.350.000 TL
"ERA NİVA'DAN ALSANCAK KIBRIS ŞEHİTLERİNDE 3+1 DAİRE
            ","['Konak', ' İzmir']",2.700.000 TL
"Kadıköy Hasanpaşa'da Satılık 170 M2 4+1 Dubleks Daire
            ","['Kadıköy', ' İstanbul']",4.750.000 TL
"Balıkesir Edremit Kapıcıbaşı Mah. Satılık Daire
            ","['Edremit', ' Balıkesir']",1.050.000 TL
"WİSREM GAYRİMENKULDEN GÖLCÜKTE 3+1 BAHÇE DUBLEKS GENİŞ DAİRE
            ","['Gölcük', ' Kocaeli']",2.000.000 TL
"0.99 KREDİYE UYGUN MERKEZİ KONUMDA ULTRA LÜKS 3+1 EMSALSİZ DAİRE
            ","['Sancaktepe', ' İstanbul']",3.000.000 TL
"KAAN İNCİLİPINAR ŞUBESİ BAYRAMYERİ ÇINAR YAKIN LÜKS APARTLAR
            ","['Merkezefendi', ' Denizli']",1.600.000 TL
"EVKA5 PALMİYE PARK TERAS EVLERİNDE 1+1 DAİRE
            ","['Çiğli', ' İzmir']",2.400.000 TL
"ATA MAHALLESİ SGK KARŞISI 3.KAT DOĞALGAZLI 3+1 LÜX DAİRE
            ","['Suluova', ' Amasya']",1.500.000 TL
"İNCEK LOFT 3,5+1 TERAS KULLANIM GÖL CEPHELİ SATILIK
            ","['Gölbaşı', ' Ankara']",6.150.000 TL
"KAMİL OCAK MAHALLESİNDE SİTE İÇİNDE 4+1 SATILIK DAİRE
            ","['Keçiören', ' Ankara']",3.990.000 TL
